SMILES,caco2_log10
[H]c1nc(Oc2c([H])c([H])c(F)c([H])c2F)c2c([H])c([H])n([H])c2c1[H],-4.48149
[H]C1=C(c2c([H])nc([H])c([H])c2[H])C([H])([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c21,-4.90309
[H]c1c([H])c([H])c(C([H])([H])[C@@]2([H])N([H])C([H])([H])C([H])([H])[C@]([H])(c3on([H])c(=O)c3[H])C2([H])[H])c([H])c1[H],-5.92082
[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[H])C([H])([H])c2c([H])c([H])c([H])c(F)c2[H])N([H])[H])c([H])c1[H],-5.82391
[H]C1=C(C(=O)N([H])c2c([H])c([H])c(S(=O)(=O)C(F)(F)F)c([H])c2[H])C([H])([H])C([H])([H])N(c2nc([H])c([H])c([H])c2C(F)(F)F)C1([H])[H],-4.54516
[H]c1c([H])c(-c2nnc(C(=O)N3C([H])([H])C([H])(Oc4c([H])c([H])c(C([H])([H])[N+]([H])(C([H])([H])[H])C([H])([H])[H])c([H])c4[H])C3([H])[H])o2)c([H])c([H])c1OC([H])([H])[H],-4.17393
[H]Oc1c([H])c(C([H])([H])C([H])([H])n2nnc([H])c2[H])c([H])c([O-])c1[C@]1([H])C([H])=C(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])C(=C([H])[H])C([H])([H])[H],-4.27572
[H]c1nn(-c2c([H])c([H])c(F)c([H])c2[H])c2c1C([H])(C([H])([H])C([H])([H])[N+]1([H])C([H])([H])[C@]([H])(C([H])([H])[H])O[C@]([H])(C([H])([H])[H])C1([H])[H])C([H])([H])C([H])([H])C2([H])[H],-4.39686
[H]c1nc([H])c2c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c2c1C([H])([H])c1nc2c(c(=O)n(C([H])([H])[H])c(=O)n2C([H])([H])C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n1[H],-4.63078
[H]c1c(Cl)c([H])c(C([H])(OC(=O)[N+]2([H])C([H])([H])[C@@]3([H])[C@]([H])(C([H])([H])N([H])C(=O)c4c([H])c([H])c5[n-]c(=O)oc5c4[H])[C@@]3([H])C2([H])[H])C([H])([H])[H])c([H])c1Cl,-3.92812
[H]c1nc(C([H])([H])[H])c(C(=O)[N+]2([H])C([H])([H])[C@]3([H])C([H])([H])[N+]([H])(C([H])([H])C([H])([H])C([H])(c4c([H])c([H])c([H])c([H])c4[H])C4([H])C([H])([H])C([H])([H])[N+]([H])(S(=O)(=O)C([H])([H])[H])C([H])([H])C4([H])[H])C([H])([H])[C@]3([H])C2([H])[H])c(C([H])([H])[H])n1,-6.16431
[H]c1c(C2([H])C([H])([H])C([H])([H])N(C([H])([H])[H])C([H])([H])C2([H])[H])on([H])c1=O,-6.0
[H]c1nc(N(C([H])([H])[H])[C@@]2([H])C([H])([H])N(S(=O)(=O)c3c([H])c([H])c([H])c(C#N)c3[H])C([H])([H])C23C([H])([H])C3([H])[H])c2c([H])c([H])n([H])c2n1,-4.8729
[H]c1sc2nc1C(=O)N([H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)N([H])[C@@]([H])(C([H])([H])c1c([H])c([H])c([H])c([H])c1[H])C(=O)N1C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])[C@@]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C(=O)[N+]1([H])C([H])([H])C([H])([H])C([H])([H])[C@@]1([H])C(=O)N([H])[C@@]2([H])C([H])(C([H])([H])[H])C([H])([H])[H],-5.65758
[H]ON(O[H])c1oc(/C([H])=N/[N+]2([H])C(=O)OC([H])([H])C2([H])[H])c([H])c1[H],-4.9914
[H]c1sc(C(N([H])c2c([H])c([H])c(C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])c3c([H])c([H])c([H])c(Cl)c3[H])c([H])c2[H])=[N+]([H])[H])c([H])c1[H],-4.56384
[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@]([H])(c3c([H])c([H])c([H])c([H])c3[H])N([H])C(=O)c3c([H])c([H])c([H])c([H])c3[H])C1([H])[H])[C@@]([H])(OC(=O)[N+]([H])(C([H])([H])[H])C([H])([H])[H])C(=O)[C@]1(C([H])([H])[H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[C@@]3([H])OC([H])([H])[C@@]3(OC(=O)C([H])([H])[H])[C@@]1([H])[C@]2([H])OC(=O)c1c([H])c([H])c([H])c([H])c1[H],-5.53165
[H]Oc1oc(C([H])([H])C([H])([H])[H])c(C([H])([H])[H])c(=O)c1C([H])([H])c1c([O-])c(C([H])([H])C([H])=C(C([H])([H])[H])C([H])([H])[H])c([O-])c(C(=O)C([H])([H])[H])c1O[H],-4.70997
[H]c1sc(C2(c3sc([H])c([H])c3[H])N([H])C(=O)N(C3([H])C([H])([H])C([H])([H])N(C([H])([H])c4c([H])c([H])c([H])c([H])c4[H])C([H])([H])C3([H])[H])C2([H])[H])c([H])c1[H],-5.30103
[H]C([H])(C(=O)[O-])C([H])([H])C(=O)O[C@@]1([H])O[C@]2([H])O[C@]3(C([H])([H])[H])OO[C@@]24[C@@]([H])(C([H])([H])C3([H])[H])[C@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]4([H])[C@@]1([H])C([H])([H])[H],-4.9914
[H]c1c(F)c(F)c([H])c(C([H])([H])[C@@]([H])(N([H])[H])C([H])([H])C(=O)N2C([H])([H])C([H])([H])C([H])([H])[C@@]2([H])c2nc(C3([H])C([H])([H])[N+]([H])(S(=O)(=O)C([H])([H])[H])C3([H])[H])no2)c1F,-6.82391
[H]N([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[C@]([H])(C(=O)[O-])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])[C@@]([H])(C([H])([H])[H])C([H])([H])C([H])([H])[H])N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[N+]([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])=[N+]([H])[H],-7.37675
[H]O[C@]([H])(C([H])([H])Oc1c([H])c(F)c([H])c([H])c1C(=O)N1C([H])([H])C([H])([H])[C@@]([H])(C(=O)[O-])C1([H])[H])C([H])([H])[N+]1([H])C([H])([H])C([H])([H])C2(Oc3c([H])c([H])c(Cl)c([H])c3C2([H])[H])C([H])([H])C1([H])[H],-6.45593
[H]/C(=N\N([H])C(N([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[H])=[N+]([H])[H])c1c([H])n([H])c2c([H])c([H])c(OC([H])([H])[H])c([H])c12,-4.95861
[H]c1c([H])c(-c2nnn(C([H])([H])[H])n2)c(-c2c([H])c([H])c([C@]([H])(N([H])C(=O)C3(N([H])C(=O)C(F)(F)F)C([H])([H])C3([H])[H])C([H])([H])[H])c(F)c2[H])c([H])c1Cl,-4.55284
[H]/C(C(=O)[N+]1([H])C([H])([H])[C@@]2([H])[C@]([H])(C([H])([H])N([H])C(=O)c3c([H])c([H])c4[n-]c(=O)oc4c3[H])[C@@]2([H])C1([H])[H])=C(/[H])c1c([H])c(Cl)c([H])c(Cl)c1[H],-4.42022
[H]OC([H])([H])C([H])([H])C([H])([H])N([H])c1nc([H])c2c([H])c(-c3c(F)c([H])c([H])c([N-]S(=O)(=O)C([H])([H])C([H])([H])C([H])([H])[H])c3F)c(=O)n(C([H])([H])[H])c2n1,-5.09691
[H]c1c([H])c([H])c(C([H])([H])N2C([H])([H])C([H])([H])C([H])(C([H])([H])C3([H])C(=O)c4c([H])c(OC([H])([H])[H])c(OC([H])([H])[H])c([H])c4C3([H])[H])C([H])([H])C2([H])[H])c([H])c1[H],-5.25571
[H]c1c([H])c(SC([H])([H])C(=O)c2c([H])c([H])c3c(c2[H])C([H])([H])C([H])(C([H])([H])[H])N3S(=O)(=O)C([H])([H])[H])c([H])c2c1OC([H])([H])C([H])([H])O2,-5.43415
[H]Oc1c([H])c([H])c([C@]([H])(C(=O)N([H])[C@]2([H])C(=O)N3[C@@]([H])(C(=O)[O-])C(C([H])([H])[H])(C([H])([H])[H])S[C@@]32[H])[N+]([H])([H])[H])c([H])c1[H],-6.73049
[H]c1c(C(=O)C2(C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])[N+]2([H])[H])c([H])c2c([H])nn([H])c2c1[H],-4.49485
[H]c1c([H])c(-n2nc(C#N)c3c2C(=O)N(c2c([H])c([H])c(C4([N+]([H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C4([H])[H])c([H])c2[H])C([H])([H])C3([H])[H])c([H])c([H])c1OC([H])([H])[H],-4.76955
[H]Oc1c([H])c(-c2oc3c([H])c(O[H])c([H])c([O-])c3c(=O)c2OC2([H])C([H])(O[H])OC([H])(C([H])([H])O[H])C([H])(O[H])C2([H])O[H])c([H])c([H])c1[O-],-6.17005
[H][N-]S(=O)(=O)c1c([H])c([H])c([H])c([H])c1-c1c([H])nc(N([H])C(=O)c2c([H])c(C(F)(F)F)nn2-c2c([H])c([H])c(OC([H])([H])[H])c([H])c2[H])c([H])c1[H],-7.0
[H]OC([H])([H])C(=O)[N+]1([H])C([H])([H])C([H])([H])N(c2c([H])c([H])c(N3C(=O)O[C@@]([H])(C([H])([H])N([H])C(=S)C([H])([H])C([H])([H])[H])C3([H])[H])c([H])c2F)C([H])([H])C1([H])[H],-4.74232
[H]OC([H])([H])[C@@]([H])(N([H])c1c([H])c2c(c([H])c1S(=O)(=O)N([H])c1c([H])c([H])c(F)c(Cl)c1[H])C([H])([H])C([H])([H])C(=O)N2[H])C([H])([H])[H],-5.79317
[H]c1c([H])c(F)c([H])c(C([H])([H])N2C([H])([H])C([H])([H])C([H])(N3C(=O)N([H])C(c4c([H])c([H])c(F)c([H])c4[H])(c4c([H])c([H])c(F)c([H])c4[H])C3([H])[H])C([H])([H])C2([H])[H])c1[H],-5.30103
[H]c1nc(N([H])c2c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c2[H])nc(-c2sc(C([H])([H])[H])nc2C([H])([H])[H])c1[H],-4.30803
[H]OC([H])(C([H])([H])N1C([H])([H])C([H])([H])C([H])(C([H])([H])N([H])C(=O)c2c([H])c([H])c([H])c3c2nc(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n3[H])C([H])([H])C1([H])[H])C([H])([H])N1C([H])([H])C([H])([H])[N+]([H])(S(=O)(=O)C([H])([H])[H])C([H])([H])C1([H])[H],-6.30103
[H]c1nc(N2C([H])([H])C([H])([H])[N+]([H])(S(=O)(=O)C([H])([H])[C@]3(C([H])([H])[H])C(=O)[N-]C(=O)N3[H])C([H])([H])C2([H])[H])nc([H])c1OC([H])([H])c1oc(C(F)(F)F)c([H])c1[H],-5.04576
[H]OC([H])([H])[C@@]1([H])O[C@]([H])(Oc2c([H])c([H])c(-c3c([H])c([H])c(C(=O)OC([H])([H])[H])c([H])c3[H])c([H])c2[H])[C@@]([H])(O[H])[C@@]([H])(O[H])[C@]1([H])O[H],-5.37366
[H]c1c([H])c([H])c(-n2nc(SC([H])([H])[H])c3c([H])c([H])c(N([H])C(=O)C4([H])C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C4([H])[H])c([H])c32)c([H])c1[H],-5.78252
[H]c1c([H])c(N2C([H])([H])C([H])([H])N([H])C(C([H])([H])[H])(C([H])([H])[H])C2([H])[H])c([H])c([H])c1-c1oc(-c2c([H])c([H])c(Cl)c3c2c([H])c([H])n3[H])nc1C(=O)N([H])[H],-6.19382
[H]O[C@]1([H])C(=O)N(c2nc([H])c([H])c(C#N)c2[H])[C@]([H])(C(=O)N(c2c([H])c(F)c([H])c(F)c2[H])[C@]([H])(C(=O)N([H])C2([H])C([H])([H])C(F)(F)C2([H])[H])c2c([H])c([H])c([H])c([H])c2Cl)C1([H])[H],-5.72125
[H]O[C@]12C(C([H])([H])[H])(C([H])([H])[H])C(=C(C([H])([H])[H])[C@@]([H])(OC(=O)[C@]([H])(O[H])[C@@]([H])(N([H])C(=O)OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])C1([H])[H])[C@@]([H])(OC([H])([H])[H])C(=O)[C@]1(C([H])([H])[H])[C@@]([H])(OC(=O)OC([H])([H])[H])C([H])([H])[C@@]3([H])OC([H])([H])[C@@]3(OC(=O)C([H])([H])[H])[C@@]1([H])[C@]2([H])OC(=O)c1c([H])c([H])c([H])c([H])c1[H],-5.14509
[H]c1c([H])c(N([H])C(=O)c2c([H])c([H])c3c([H])c([H])c([H])c([H])c3c2[H])c([H])c([H])c1-c1nnc(OC([H])([H])C(C(=O)N([H])C([H])(C([H])([H])[H])C([H])([H])[H])(C([H])([H])[H])C([H])([H])[H])n1C([H])([H])[H],-5.05552
[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])[N+]([H])([H])[H])N([H])C(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])[H])C([H])([H])c2c(C([H])([H])[H])c([H])c([O-])c([H])c2C([H])([H])[H])C([H])([H])C([H])([H])C([H])([H])N([H])C(=O)N([H])[H])c([H])c1[H],-6.22185
[H]c1c([H])c([H])c2c(c1[H])N(C(=O)C([H])([H])c1nc(N3C([H])([H])C([H])([H])OC([H])([H])C3([H])[H])c([H])c(=O)n1C([H])([H])[H])C([H])([H])C2([H])[H],-5.08092
[H]c1nc(C([H])([H])[H])n2c1C([H])([H])N=C(c1c([H])c([H])c([H])c([H])c1F)c1c([H])c(Cl)c([H])c([H])c1-2,-4.70115
[H]c1nc(Oc2c([H])c([H])c3c(c2[H])c(=O)nc([H])n3C([H])([H])c2c([H])c([H])c(Br)c([H])c2F)c(C(F)(F)F)c([H])c1[H],-5.14874
[H]c1c(Cl)c([H])c2c(c1Cl)C([H])([H])[C@]([H])(N1C([H])([H])C([H])([H])[N+]([H])([H])C([H])([H])C1([H])[H])[C@@]2([H])Oc1c([H])c([H])c(S(=O)(=O)C([H])([H])[H])c([H])c1[H],-5.52288
[H]c1nc2c(c([H])nn2-c2nc([H])c(-c3noc([C@@]4([H])C([H])([H])OC([H])([H])C([H])([H])[N+]4([H])[H])c3[H])c([N+]([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c1C#N,-4.58004
[H]c1nc([H])c(C([H])([H])C([H])([H])C(=O)[N+]2([H])C([H])([H])C([H])([H])C([H])(N([H])C(=O)C([H])(c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])c([H])c1[H],-5.07058
[H]c1c(Cl)c(C(=O)N([H])[C@]2([H])C([H])([H])[C@]3([H])C([H])([H])C([H])([H])[C@]([H])(C2([H])[H])[N+]3([H])S(=O)(=O)C([H])([H])C2([H])C([H])([H])C([H])([H])N(C([H])([H])C([H])([H])C([H])([H])C(F)(F)F)C([H])([H])C2([H])[H])c([H])c2c1N([H])C(=O)C2([H])[H],-6.19382
[H]c1nc2c([H])c([H])c(-c3nc(C([H])([H])c4c([H])c([H])c([H])c(C(=O)N([H])[H])c4[H])n([H])c3-c3nc(C([H])([H])[H])c([H])c([H])c3[H])c([H])c2nc1[H],-5.34679
[H]c1nc([H])c([H])c(N(C(=O)[C@]2([H])[C@@]([H])(C([H])([H])c3c([H])c([H])nc(N([H])[H])c3[H])C(=O)[N+]2([H])C(=O)N([H])[C@@]([H])(c2c([H])c([H])c([H])c([H])c2Cl)C([H])([H])C([H])([H])[H])C([H])([H])[H])c1[H],-5.0
[H]c1nc(N2C([H])([H])C([H])([H])[N+]([H])(C(=O)[N-]S(=O)(=O)c3sc(Cl)c([H])c3[H])C([H])([H])C2([H])[H])c(Cl)c([H])c1C(=O)C([H])([H])C([H])([H])C([H])([H])[H],-6.79588
[H]c1nn(C([H])([H])[H])c(=O)c(-c2c([H])c([H])c(C([H])([H])[C@@]([H])(c3nnnn3[H])N([H])C(=O)c3c(Cl)c([H])c([H])c([H])c3Cl)c([H])c2[H])c1OC([H])([H])[H],-7.69897
[H]C1=C(C#N)C([H])(N2C([H])([H])C([H])([H])C([H])(C(=O)[N-]S(=O)(=O)C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])C([H])([H])C2([H])[H])N([H])C(C([H])([H])C([H])([H])C([H])([H])[H])=C1C(=O)C([H])([H])C([H])([H])C([H])([H])[H],-5.92082
[H]OC([H])([H])C(=O)C12OC([H])(C([H])([H])C([H])([H])C([H])([H])[H])OC1([H])C([H])([H])C1([H])C3([H])C([H])([H])C([H])([H])C4=C([H])C(=O)C([H])=C([H])C4(C([H])([H])[H])C3([H])C([H])(O[H])C([H])([H])C21C([H])([H])[H],-4.88606
[H]c1nc(C(=O)[O-])c([H])c(-c2c([H])c(Cl)c3oc([H])c([H])c3c2[H])n1,-4.65956
[H]ON([H])C(=O)C([H])([H])C1(N([H])C(=O)c2c([H])c([H])c(OC([H])([H])c3c([H])c(C([H])([H])[H])nc4c([H])c([H])c([H])c([H])c34)c([H])c2[H])C([H])([H])C([H])([H])N(C2=[N+]([H])C([H])([H])C([H])([H])S2)C([H])([H])C1([H])[H],-7.0
[H]c1c([H])c([H])c2c([H])c(C([H])([H])N([H])c3nc(N4C([H])([H])C([H])([H])[N+]([H])(C(=O)C([H])([H])[H])C([H])([H])C4([H])[H])nc4c3C([H])([H])[N+]([H])(C([H])(C([H])([H])[H])C([H])([H])[H])C4=O)nc([H])c2c1[H],-6.22185
[H]c1c([H])c([N+](=O)[O-])c(C(F)(F)F)c([H])c1N([H])C1([H])C([H])([H])C([H])([H])C([H])(OC([H])([H])C(=O)[N+]2([H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])c3nc4c([H])c(Cl)c([H])c([H])c4s3)C([H])([H])C2([H])[H])C([H])([H])C1([H])[H],-5.20761
[H]C([H])=C([H])C([H])([H])[N+]([H])(C(=O)[C@@]1(c2sc([H])c([H])c2[H])C([H])([H])[C@@]1([H])C([H])([H])N([H])[H])C([H])([H])C([H])([H])[H],-4.86328
[H]c1c([H])c([H])c(C2(N(C(=O)C(=O)N([H])[H])C([H])([H])[H])C([H])([H])C([H])([H])[N+]([H])(C([H])([H])[C@]3([H])C([H])([H])[C@@]3(C(=O)[N+]([H])(C([H])([H])[H])C([H])([H])c3c([H])c([H])c([H])c([H])c3[H])c3c([H])c([H])c(Cl)c(Cl)c3[H])C([H])([H])C2([H])[H])c([H])c1[H],-5.88606
[H]/C(C(=O)[O-])=C(/[H])c1c([H])c([H])c(N([H])C(=O)C(N([H])C(=O)c2c([H])c([H])c3c(C4([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C4([H])[H])c(-c4nc(C([H])([H])[H])c([H])c([H])c4[H])n(C([H])([H])[H])c3c2[H])(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],-5.16115
[H]c1nc(-n2nnc3c2C([H])([H])C([H])([H])N(C(=O)c2c([H])c([H])c([H])c(C(F)(F)F)c2Cl)[C@]3([H])C([H])([H])[H])nc([H])c1F,-5.12321
[H]c1c([H])c([H])c(C([H])([H])C2(c3c([H])c([H])c4c(c3[H])c([H])c([H])n4[H])C([H])([H])C([H])([H])[N+]([H])([H])C2([H])[H])c([H])c1[H],-4.76955
[H]c1nc(C([H])([H])n2c([H])c([H])c([H])c([H])c2=O)c([H])c([H])c1C([H])([H])n1nc(C([H])([H])OC([H])([H])[H])c(C(=O)N([H])C([H])([H])c2c(F)c(OC([H])([H])[H])c([H])c([H])c2C#N)c1[H],-5.30103
[H]c1nc2c(c([H])nn2-c2nc([H])c(-c3nnn(C([H])([H])C4([H])OC([H])([H])C4([H])[H])c3[H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c1C#N,-4.61261
[H]O[C@]1([H])C([H])([H])N(C(=O)C([H])([H])[H])C([H])([H])C([H])([H])[C@@]1([H])n1nnc(-c2c([H])nc(-n3nc([H])c4c([H])c(C#N)c([H])nc43)c([H])c2[N+]([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])c1[H],-5.82391
[H]c1nc2c(c([H])c1[H])C([H])([H])N([H])c1nc(nc([H])c1C(F)(F)F)N([H])c1c([H])c([H])c3c(c1[H])C([H])([H])C([H])([H])N3C(=O)C([H])([H])C([H])([H])C([H])([H])C([H])([H])N2S(=O)(=O)C([H])([H])[H],-4.52288
[H]c1c(C(=O)N2C([H])([H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])C2([H])[H])c([H])c2c3c(n(S(=O)(=O)C([H])([H])C([H])([H])[H])c2c1[H])C([H])([H])C([H])([H])N(C1([H])C([H])([H])C([H])([H])OC([H])([H])C1([H])[H])C3([H])[H],-4.88606
[H]c1c([H])c(C2=N[C@@]([H])(C([H])([H])C(=O)N([H])[H])c3nnc(C([H])([H])[H])n3-c3sc(C([H])([H])[H])c(C([H])([H])[H])c32)c([H])c([H])c1Cl,-5.89963
[H]C1=C([H])[C@]2([H])c3c([H])c(C#N)c([H])c([H])c3[N+]([H])([H])[C@]([H])(C(C([H])([H])[H])(C([H])([H])[H])C([H])([H])N([H])C(=O)c3c([H])c([H])c(OC(F)(F)F)c([H])c3[H])[C@]2([H])C1([H])[H],-5.69897
[H]c1nc(N([H])c2c([H])c([H])c(S(=O)(=O)N([H])[H])c([H])c2[H])nc2c1C([H])([H])C([H])([H])c1sc([H])c([H])c1-2,-4.46852
[H]c1c([H])c2c([H])c([H])c1Oc1c([H])c(c([H])c([H])c1OC([H])([H])[H])C([H])([H])C1([H])c3c([H])c(c(OC([H])([H])[H])c([H])c3C([H])([H])C([H])([H])N1C([H])([H])[H])Oc1c3c(c([H])c4c1C([H])(C2([H])[H])[N+]([H])(C([H])([H])[H])C([H])([H])C4([H])[H])OC([H])([H])O3,-4.18776
[H]c1c([H])c(F)c2c(c1[H])O[C@@]1([H])C([H])([H])[N+]([H])([H])C([H])([H])[C@]1([H])O2,-3.7
[H]c1nc2c(c([H])nn2-c2nc([H])c(-c3nnn(C([H])([H])C(=O)C([H])([H])[H])c3[H])c(N([H])C([H])(C([H])([H])[H])C([H])([H])[H])c2[H])c([H])c1C#N,-5.34679
[H]c1c([H])c(C(=O)N2C([H])([H])c3nnc(C(F)(F)F)n3C([H])([H])[C@]2([H])C([H])([H])[H])c([H])c(C(F)(F)c2n[n-]c(=O)c3c([H])c([H])c([H])c([H])c23)c1[H],-5.17393
[H]c1c([H])c([H])c(-c2c(C([H])([H])[H])n([H])n(-c3nc4c([H])c([H])c([H])c([H])c4[n-]3)c2=O)c([H])c1[H],-4.99568
[H]c1nc(C([H])([H])[H])c([H])nc1C(=O)N([H])c1c([H])c([H])c(F)c([C@@]2(C([H])([H])[H])N([H])C(=[N+]([H])[H])N(C([H])([H])[H])S(=O)(=O)C2([H])[H])c1[H],-5.26761
[H]c1nc(N([H])[H])c([H])c(C([H])([H])[C@@]2([H])C(=O)[N+]([H])(C(=O)N([H])[C@]([H])(C(F)(F)F)C3([H])C([H])([H])C([H])([H])C([H])([H])C([H])([H])C3([H])[H])[C@]2([H])C(=O)N(c2c([H])c([H])c([H])c(Cl)c2[H])C([H])([H])[H])c1[H],-5.0
[H]O[C@@]12O[C@@]([H])(C([H])([H])C([H])([H])[C@@]1([H])C([H])([H])[H])C([H])([H])[C@]([H])(OC([H])([H])[H])/C(C([H])([H])[H])=C([H])\C([H])=C([H])/C([H])=C(/[H])[C@@]([H])(C([H])([H])[H])C([H])([H])[C@@]([H])(C([H])([H])[H])C(=O)[C@]([H])(OC([H])([H])[H])[C@]([H])(O[H])/C(C([H])([H])[H])=C(/[H])[C@@]([H])(C([H])([H])[H])C(=O)C([H])([H])[C@@]([H])([C@]([H])(C([H])([H])[H])C([H])([H])[C@]1([H])C([H])([H])C([H])([H])[C@@]([H])(O[H])[C@]([H])(OC([H])([H])[H])C1([H])[H])OC(=O)[C@@]1([H])N(C(=O)C2=O)C([H])([H])C([H])([H])C([H])([H])C1([H])[H],-4.95861
[H]c1c([H])c([H])c(C([H])([H])[C@@]([H])(C(=O)N([H])[C@]([H])(C(=O)N([H])[H])C([H])([H])C([H])(C([H])([H])[H])C([H])([H])[H])N([H])C(=O)C([H])([H])N([H])C(=O)[C@]([H])(N([H])C(=O)[C@@]([H])(N([H])C(=O)C([H])([H])[H])C([H])([H])c2c([H])c([H])c([O-])c([H])c2[H])C([H])([H])[H])c([H])c1[H],-7.21467
[H]c1c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c([H])c1[Se][Se]c1c([H])c([H])c(N(C([H])([H])[H])C([H])([H])[H])c([H])c1[H],-5.25104
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1C(F)(F)F,-4.08092
[H]C1=C(c2c([O-])c3c([H])c([H])c([H])c([H])c3n(C([H])([H])c3c([H])c([H])c(F)c([H])c3[H])c2=O)N([H])c2c([H])c([H])c([H])c([H])c2S1(=O)=O,-5.35655
[H]OC(C([H])([H])[H])(C([H])([H])[H])C([H])([H])C([H])([H])c1nnn(-c2c([H])nc(-n3nc([H])c4c([H])c(C#N)c([H])nc43)c([H])c2N([H])C2([H])C([H])([H])C(F)(F)C2([H])[H])c1[H],-5.4437
[H]c1c([H])c(OC([H])([H])[H])c([H])c(-c2c([H])c([H])c([H])c(C3(C4([H])C([H])([H])C([H])([H])OC([H])([H])C4([H])[H])N=C(C([H])([H])[H])C(N([H])[H])=[N+]3[H])c2[H])c1[H],-4.65758
[H]c1c([H])c([H])c(-c2c([H])c([H])c(C([H])([H])[N+]3([H])C([H])([H])C([H])([H])C([H])(C([H])([H])OC(=O)c4c5n(c6c([H])c([H])c([H])c([H])c46)C([H])([H])C([H])([H])C([H])([H])O5)C([H])([H])C3([H])[H])c([H])c2[H])c(C(=O)OC([H])([H])OC(=O)C([H])([H])[H])c1[H],-5.85387
[H]n1nnnc1C([H])([H])C([H])([H])[C@@]([H])(C([H])([H])[H])[C@@]1([H])C([H])([H])C([H])([H])[C@]2([H])[C@]1(C([H])([H])[H])C([H])([H])C([H])([H])[C@]1([H])[C@@]3(C([H])([H])[H])C([H])([H])C([H])([H])[C@@]([H])(OC([H])([H])[H])C([H])([H])[C@@]3([H])C([H])([H])[C@@]([H])(OS(=O)(=O)[O-])[C@]12[H],-6.39794
[H]c1c([H])c(S(=O)(=O)N([H])[H])c([H])c([H])c1-n1nnc(C([H])([H])S(=O)(=O)C2([H])O[C@]([H])(C([H])([H])OC(=O)C([H])([H])[H])[C@@]([H])(OC(=O)C([H])([H])[H])[C@]([H])(OC(=O)C([H])([H])[H])[C@@]2([H])OC(=O)C([H])([H])[H])c1[H],-6.35952
[H]/C(=C1\C2=[N+]([H])OC([H])([H])[C@]([H])(c3c([H])c(F)c(F)c(F)c3[H])N2C([H])([H])C([H])([H])C1([H])[H])c1c([H])c([H])c(-n2c([H])nc(C([H])([H])[H])c2[H])c(OC([H])([H])[H])c1[H],-4.60906
